,Unnamed: 0,comment
56,56,"Hotel impian bangett nih Bocan
Doain bulan ini bisa staycation disini yaa
😂😂😂"
57,57,"Thanks y’a mbak , liputannya berguna bgt, hotel solo mbak plis , tengkiu"
58,58,"Se mlm brp ya.....??
Aku kok pengen yg paling  murah brp ya se mlm.....??"
59,59,Alhamdulillah dah pernah 😇
60,60,Ga kebayang pas clear up abiss breakfast :')))
61,61,satu kekurangan tentrem ini. Lorong bawah tana utk parking nya gak jelas. Gak dikasih petunjuk dan jarang ada petugas
62,62,boleh lah.. kapan kapan nginep
63,63,Itu breakpst udah termasuk harga inap 1malam inclued/ eksclued
64,64,Setiap hari saya lewat sana kak soal nya rumah saya deket sana
65,65,Itu hote lokasi tepatnya di jl apa ya
66,66,Tarif harganya permalam berapa?
67,67,Keren banget ya hotel nya
68,68,Di sini depositnya berapanya kak?
69,69,sayang banget ga ada Bathtab..
70,70,"sukses terus kakk,  makasi dah bagi2 ilmu 😁"
71,71,"Keren bngtt . Tpi harga nya mahal bngt . 
Semalem harganya 1,6 jt an"
72,72,Ingat....semarang bukan kaleng2 ya boss
73,73,Jepara hadir. gas kesana
74,74,Aku pernah ke situ baguss banget deh👍
75,75,Ko-kolam yg familiar buat fans trio bobrok
76,76,Trims bocan makasih ya atas detailnya
77,77,Tempat aku kerja..wkwkwk
78,78,Mewah banget hotel nya
79,79,Mbak itu harga hotel nya berapa soal nya mau cobain tidur di situ
80,80,Kerenn banget hotelnya.. semoga bisa nginep disitu..
81,81,Perabotannya dari HPL yg kesannya jd kayak hotel low budget
82,82,Mantappp..... 👍👍
83,83,Ko murah ya. Beneran ini 1.5 per mlm ini hrg via travel online atau walking Guest?
84,84,"Aku org Semarang belom kesini,,tapi ke mallnya udah beberapa kali. Baguss 😊"
85,85,"Boleh juga yg mau cari parfum branded dan non branded bisa hubungi saya yoo teman2🙏🏻, di Semarang"
86,86,Brp semalem?
87,87,Minimalist ya kak.. warna kayu aman. Bocan pakai kamera apa kak? Tks jk dijawab. 🙏
88,88,Rewiew hotel di Tawangmangu dong kak.. Daerah karanganyar..solo.
89,89,next destination
90,90,Sayangnya Dulux ga pke bathtub. Novotel aja ada bathup nya
91,91,"Itu yg tukang parkirnya temen saya kaka,tolong dikasih tau sop nya kaka"
92,92,coba donk ka nginep nginep di kota tasikmalaya asik asik dan saran hotel antara horison / santika / fave hotel.
93,93,Temenku kerja di sini...👍👍
94,94,"Ada yg tau gak
Parfum ruangan di lobi Tentrem pakai aroma apa? 😀"
95,95,Keren bgt hotel nya..dan mbak riview  nya sangat detil sy sangat suka sekali.. Sukses trs yo..thanks..👍👍👍
96,96,"suaranya microponic enak bgt detail kalau jelasin apa apa,, dan slalu bkin mupeng"
97,97,Bocann boleh share nomor kamar berapa yang viewnya corner itu? Biar nanti kalo pas sempet nginep bisa request kamar yang viewnya dobel kayak bocannn :)
98,98,Saya yang supply lampunyaaa hehehh
99,99,Sejak pertama kali lihat ulasan Bocan di Banyuwangi. Btw Bocan sudah 2x road trip Bali. Pengen banget 😁
100,100,Kebiasaan gedung di Indonesia. Pedestrian pejalan kaki tuh kek kurang diperhatikan
101,101,Permlm brp y
102,102,Keren banget...kak ada facebook gak? Kebetulan saya punya grup di facebook.grup khusus hotel.nama grupnya INFO HOTEL & PENGINAPAN JAWA TENGAH...mungkin bisa posting review juga di grup saya kak.terima kasih...
103,103,"Terima kasih liputannya Bocan..
Keren banget hotelnya juga informasi Bocan nya..
👍👍👍🤩
Kalo di Solo belum pernah di review ya hotel2nya.?
Ada info gak Bocan hotel yg ada mini pantri nya ? Supaya bisa masak2 sendiri maksudnya 
Makasih banyak ya Bocan.."
104,104,"Assalamualaikum ... shollu 'alaih ...
★ Sukses untuk channel nya. Aaamiin yaa robb ...
Selamat siang ..."
105,105,Pengambilan video pakai berapa resolusinya kak.?  1080/60fps apa 4K?
106,106,"Kolam renangnya asyik.bangeeeeet ... paling murah rate 1,5?"
107,107,Hotel tentrem ini klo gk salah punya e Sidomuncul ya..
108,108,Keren n bagus y. Kakak komunikatif bingit.. jd g bosen nontonya. Lucu dan engga dibuat buat juga. Hehehe.. kontenya jg bermanfaat... thx kak.. jd rencana mau dijadwalkan kesana meski org Semarang sendiri.
109,109,Sbulan lalu  nginep di tentrem ada putri dyungnya tu kolam renangnya😁😁😁
110,110,Xie Xie Cici Bocan 👍
111,111,Belakang Tentrem rumah saya monggo mampir 😅
112,112,wahhh Semarang 😍
113,113,kesan pertama nginep disini KECEWA BANGET. datang dr jam 12 checkin baru bs jma 17.30 itu pun dengan tidak tersedia kamar yg dipesanbpadahal sdh di peaan dr 1 minggu lalu dan sdh ok dr pihak hotelnya. padahal sewa kamar yg 3juta. malah suruh down grade ke deluxe yg harganya 1.5 juta. dimana mana orang kl kesalahan dr hitel mqlah diupgrade ini malah suruh down grade
114,114,Kolam renang lantai putri duyung
115,115,"Thx informasinya ce,,, saya noted utk refrensi kalo stay di semarang.. Hehehe,,,"
116,116,Bocan Ke kota Makassar 😊
117,117,inspirasi banget sebelum review pasti cari solusi di channel ini
118,118,Selalu keren nih youtubenya bobo cantik
119,119,Wahh mantap ya bund.. kebetulan aku juga di Semarang ini
120,120,Yok kak Ke Rumah Ku😭😂
121,121,Bisa dicoba nanti kalau Padma Hotel Semarang ( bintang lima) beroperasi.
122,122,"Sebentar lagi saingan sepadannya jadi, Hotel Padma miliknya Djarum."
123,123,review hotel paling bagus di cirebon dong apa?
124,124,Kolam renang nya keren banget 👍👍
125,125,"Pernah mau coba pas ada diskon travelok🤑.
Tapi gak jadi karna hari diskon dengan duty tak berbanding lurus🤣😅
Mantap Kakak Bocan.
Salam vlogger dari Nganjuk Jatim.🙏🙏"
126,126,Deposit kena berapa kak
127,127,"kembali keliling hotel bandung z bocan, he😅"
128,128,Keren banget bocan❤️
129,129,"Keren, gue suka sama vlog ini"
130,130,The best reviewnya so far... Terima kasih Bocan
131,131,Mantappp...bocan kalo review hotel gini diendors g 🙏
132,132,Review Hotel di Bengkulu dong. Hotel Horizon. Tq bobor
133,133,Bocan bisa rievew kuliner jg ng...
134,134,"Mirip2 yaahh sama Gumaya Hotel, di Semarang juga... Hehe"
135,135,"Golden Tulip Batu dong bocan, aku kangen kesana nih"
136,136,"Udah pernah ke Manado belum? Coba destinasi disana. Selain hotel, juga banyak destinasi2 wisata yang gak kalah kerennya, termasuk kulinernya sedap-sedap!"
137,137,Kamera nya baru kayanya lebih jernih dr biasamya mantul
138,138,Mudah2an bisa nginep dsini👍
139,139,"Teruskan ci review2 hotelnya. Trutama utk range harga 1-2 jt an. 👍🏼
Smangat trs..."
140,140,Hotel seruni next dong bocan
141,141,"paling suka sama chanel ini, karena pengambilan gambarnya keeeren banget  dan me rivew hotelnya jelas banget 🥰semoga semakin sukses terus ""BOCAN"" ❤️"
142,142,"Semoga lekas sembuh si kecil🙏, ati2 bocan 🌟"
143,143,Hotel mewah di manado dongggg...
144,144,Bocan dalam sebulan tinggal di rumah brp kali ya?? Hhheeee...
145,145,Patut di coba ni kalau k Semarang. Kereen bocan 👍
146,146,Mehong ni hotell
147,147,"Halo mbak, mau tanya, kalo breakfast di hotel2 seperti ini, apakah dibolehkan ngambil makanan seperlunya utk cemal cemil di kamar?"
148,148,Sangat informatif sekali videonya. Pengambilan gambarnyapun bagus. Suka
149,149,Keren bgt 👍👍👍👍
150,150,Woooooow kereeeeeeeeen kak
151,151,Keren banget review hotel tentrem semarang  rencana aku ada solusi menginap ke sana sambil mengajak keluarga liburan tambah asyik dan tambah betah aja soalnya pemandangannya lebih keren dab kece banget sukses selalu bocan
152,152,yeay my hometown
153,153,Mantab bocan lebih modern ya dari tentrem jogja
154,154,Enak banget hotel disini sudah pernah nginap ada jacuzi ada sauna ada playground anak plus sebelahnya ada mall sayang masi sepi mallnya
155,155,hadir  mbak..!! baru masuk dh betah pa lagi nginap...wah bisa² gk mau pulang..mantp👍👍🏻👍🏻🙏salam suksesti Baraya
156,156,11 menit yg lalu ... keren 🥰
157,157,Alhamdulillah sudah 2x ke sini 😁
158,158,Bagus banget
159,159,Comment ke 3
160,160,"Langsung di klik dong first
Dapet apa nih 😁"
161,161,Keren bocan!
